matricula,bastidor,marca,modelo,potencia,color,fecha_matriculacion,titular
1103EEA,OQI59778Q33920532,Rinaul,Charco,1400,blanco,2006-04-20,07471244Q
4519AIU,OQO12512I51315316,Zitron,Grapef,1400,azul metalizado,2002-04-18,44338136R
3784IAO,IQI17923O96683383,Zitron,Lemmon,1400,rojo metalizado,2005-09-05,20304333W
9495AIA,OOQ95654Q25754626,Fork,Bipua,1400,gris,2007-07-10,30173036A
3812EIU,IIQ55613O86187253,Zitron,Orange,1400,gris,2002-07-31,97959442G
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
6523AIO,IIQ15895I14342197,Peuyo,Natural,1400,blanco,2006-03-22,89897064T
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
1858UEA,QOQ13352Q10174320,Peuyo,Natural,1400,negro metalizado,2004-09-29,23939454L
8686IUU,OQO43241Q19559486,Fork,Tetrox,1400,dorado,2002-08-31,95875344M
2261EOI,QQI82617I31229382,Peuyo,Entero,1400,negro metalizado,2003-04-01,31211842Z
4760AEE,OQI84817O94178267,Fork,Escolta,1400,blanco,2004-08-26,60305223M
5862IOU,IOQ24526I72268006,Rinaul,Fuente,1400,azul metalizado,2008-12-11,78455829T
6118UAA,IOO86091I29232341,Rinaul,Charco,1400,fucsia,2007-05-20,74080979A
4584IEO,OIQ61721Q33118352,Fork,Bipua,1400,gris metalizado,2008-10-10,75939906R
2877AIA,QIO77803O46172998,Merche,Rod-star,1400,blanco,2004-04-01,59015527B
2698UEA,QQQ84318Q58168521,Seta,Amanita,1400,blanco metalizado,2004-12-22,29480068W
1650OEI,IIO89523O51788723,Seta,Nizcalo,1400,amarillo metalizado,2005-12-25,14502021S
8668OEE,IOI75948I62251995,Seta,Nizcalo,1400,blanco,2004-12-25,21763956E
9519OEE,QQQ42530Q26501403,Escola,Tercius,1400,rojo metalizado,2004-10-31,73520242Y
6880OUO,IQO77837Q26091208,Merche,Rod-star,1400,dorado,2004-09-14,77467632K
8472OIE,QOQ90000Q37170799,Peuyo,Natural,1400,azul metalizado,2005-10-30,13633650D
8775UUI,IQI85899Q77755337,Peuyo,Real,1400,plateado metalizado,2008-04-05,19322800V
6111IAI,QIO78629I56366773,Rinaul,Fuente,1400,dorado,2004-10-25,70809340E
2583UIO,OQO97896Q30805722,Bemev,Cuple,1400,negro metalizado,2002-02-25,56651407S
2543OUU,IOQ86262Q94000006,Peuyo,Entero,1400,negro metalizado,2007-10-22,05511330R
7283OOE,OII87486Q10383606,Seta,Champi,1400,gris metalizado,2008-12-18,08375827D
5502UIE,QOO52534Q98854002,Rinaul,Fuente,1400,gris metalizado,2002-10-05,41983923E
5716IEO,QIQ76297O11418008,Peuyo,Primo,1600,gris metalizado,2002-12-05,81542499R
1072IOA,IOQ21422I15691931,Rinaul,Fuente,1400,aguamarina,2008-07-04,25877835Y
5863AII,QOQ51133I97411888,Bemev,Cuple,1400,blanco metalizado,2007-05-21,31970465M
9038OUI,IOQ49960I40461517,Rinaul,Fuente,1400,rojo metalizado,2003-01-20,63763779M
0619IEO,OQO87369I86192820,Zitron,Orange,1400,blanco metalizado,2008-02-29,82883718K
1244UEO,OOI57038I93426527,Merche,Estadio,1400,blanco,2005-03-29,05511330R
2539EOE,OII05576Q94589278,Fork,Escolta,1400,blanco metalizado,2005-01-25,12519376Q
2583UIO,OQO97896Q30805722,Bemev,Cuple,1400,negro metalizado,2002-02-25,56651407S
7757IAI,QOQ15743I93680654,Escola,Primus,1400,azul metalizado,2006-06-01,41938714P
5853OII,OIO85050Q74433787,Rinaul,Fuente,1400,violeta,2007-01-10,90553454Q
9599EAA,QIQ44168Q90090612,Merche,Berlin,1400,marron,2002-07-03,01362850P
6734OUU,QQO09939I45954228,Rinaul,Manante,1600,blanco,2003-09-08,82883718K
5862IOU,IOQ24526I72268006,Rinaul,Fuente,1400,azul metalizado,2008-12-11,78455829T
2261EOI,QQI82617I31229382,Peuyo,Entero,1400,negro metalizado,2003-04-01,31211842Z
4334OUU,IIQ51207Q46695684,Zitron,Lemmon,1400,dorado,2003-06-10,49806223E
6320UOU,IQO90213Q86210207,Zitron,Tangerine,1400,negro metalizado,2004-02-24,87457684T
4280EUI,IIQ31616Q55143183,Merche,Rod-star,1400,negro,2008-04-26,85549822B
3929OOO,QII67147Q67852783,Bemev,Cuple,1400,blanco,2008-12-02,58793740J
4450AAE,IIO61033Q38692681,Merche,Berlin,1400,rojo,2004-02-29,79763740Q
6882IUI,IQQ37428O29626828,Bemev,Berlin,1400,negro metalizado,2002-07-24,29525918J
3422AEU,OOQ73291O11537888,Escola,Cuartus,1400,azul,2008-07-10,48906593Z
4978AUI,OOI32684O78064505,Merche,Estadio,1400,gris,2008-07-03,32457390C
0583EAA,QII41544Q45043796,Peuyo,Real,1400,naranja,2004-06-21,49806223E
1286OEO,OII27925I50936906,Zitron,Lemmon,1400,beige,2007-07-03,97976946M
4483AIO,IOQ90947Q76497060,Merche,Berlin,1400,negro metalizado,2005-10-05,15742171M
7919AEO,QOI84163Q14980235,Rinaul,Fuente,1400,marron,2008-05-29,21987229B
7789UAO,IOO69825O26080643,Seta,Champi,1400,morado,2003-11-10,69049869M
3043OOI,IIO13807Q91952846,Merche,Tourne,1400,rojo,2002-03-11,80738207L
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
2452UEO,IOO31585Q93414655,Fork,Bipua,1400,verde metalizado,2005-01-21,65393209T
6320UOU,IQO90213Q86210207,Zitron,Tangerine,1400,negro metalizado,2004-02-24,87457684T
9507AAI,OII49357Q64011955,Bemev,Cuple,1400,blanco metalizado,2006-11-26,45568849F
0566EAU,IOQ70224Q79374722,Rinaul,Fuente,1400,negro,2003-11-21,60908146Y
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
6061IUO,OQQ27182O80576969,Seta,Amanita,1400,magenta,2002-09-06,48272209Q
9507AAI,OII49357Q64011955,Bemev,Cuple,1400,blanco metalizado,2006-11-26,45568849F
2458AEU,III79828Q75128034,Peuyo,Natural,1400,naranja metalizado,2004-04-14,40915263B
6317EUO,OOO08870Q45492075,Bemev,Berlin,1400,azul metalizado,2008-07-15,01707914A
0861EUI,IIO62295O24945526,Rinaul,Arroyo,1600,blanco metalizado,2008-06-27,25819562S
4481IEE,QQI08224Q96288743,Rinaul,Charco,1400,gris,2009-01-13,56651407S
7494UEU,OIQ99703O13452404,Zitron,Tangerine,1400,negro,2007-12-23,33585461X
4978AUI,OOI32684O78064505,Merche,Estadio,1400,gris,2008-07-03,32457390C
4450AAE,IIO61033Q38692681,Merche,Berlin,1400,rojo,2004-02-29,79763740Q
6818EAU,QOI57614I44678610,Rinaul,Charco,1400,naranja,2006-04-15,67245027L
3202OUU,IQI61167O30378668,Peuyo,Real,1400,blanco,2003-11-07,21371673G
6279OUE,IQI51821Q24943387,Zitron,Tangerine,1400,rojo,2006-08-19,60305223M
8545AOA,IQO91996O63554286,Merche,Tourne,1400,blanco,2004-11-13,22764409K
8545AOA,IQO91996O63554286,Merche,Tourne,1400,blanco,2004-11-13,22764409K
3631IUU,QQI31261Q32783737,Zitron,Grapef,1400,negro,2003-06-29,33300126J
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
4639AEE,QOQ93248I71172024,Merche,Rod-star,1400,blanco metalizado,2008-06-01,85463656A
5525OUO,IQO83205O51180106,Peuyo,Entero,1400,rojo metalizado,2004-09-07,92366576W
5023EII,IOO78843O25987869,Merche,Estadio,1400,ocre,2007-08-30,80805990K
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
9063AOI,QQO35197I53881067,Rinaul,Arroyo,1600,plateado,2007-11-25,22649968M
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
9733UAO,IOO27617O30655451,Rinaul,Charco,1400,dorado,2006-01-17,81904772R
1480EUA,OIQ38099Q89711541,Seta,Cardus,1400,plateado metalizado,2002-07-16,17817924P
5119AUI,OOO75734O30167787,Rinaul,Fuente,1400,dorado metalizado,2007-08-14,19502956Z
9519IEI,OIO13264I31209486,Bemev,Suv-X,1400,gris,2008-08-31,61353152P
0383IOU,IOO77788O45452599,Bemev,Berlin,1400,negro,2009-01-13,00708677R
5853OII,OIO85050Q74433787,Rinaul,Fuente,1400,violeta,2007-01-10,90553454Q
1564AII,IOQ06526Q85602685,Escola,Cuartus,1400,rojo,2004-08-11,16203684T
4776EUI,OOQ45179Q65086868,Merche,Rod-star,1400,gris metalizado,2002-10-21,44338136R
5408EII,OQI93306Q71422991,Peuyo,Natural,1400,negro,2006-01-05,60908146Y
5823AEO,OOQ24566Q85316870,Zitron,Orange,1400,dorado,2003-06-30,47614918L
1497IUA,IQO21503O84888857,Fork,Bipua,1400,plateado metalizado,2003-04-18,48906593Z
9519IEI,OIO13264I31209486,Bemev,Suv-X,1400,gris,2008-08-31,61353152P
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
3667IIE,QIO83777I33238686,Seta,Nizcalo,1400,blanco metalizado,2002-07-23,18612682R
6864AIU,OIO17179O13898532,Peuyo,Entero,1400,magenta,2007-07-31,55074832K
1244UEO,OOI57038I93426527,Merche,Estadio,1400,blanco,2005-03-29,05511330R
0703OEU,IOQ29388I53520575,Seta,Cardus,1400,bermellon,2002-05-24,74864863R
0946UOU,QQQ51788O54643145,Rinaul,Fuente,1400,fucsia metalizado,2002-05-07,62526264M
5823AEO,OOQ24566Q85316870,Zitron,Orange,1400,dorado,2003-06-30,47614918L
6292EIA,OOQ68500I33835394,Fork,Tridente,1600,cuarzo,2008-01-04,68579236K
0062OEA,IOI81674Q57617232,Merche,Tourne,1400,purpura metalizado,2006-02-13,77684051X
5716IEO,QIQ76297O11418008,Peuyo,Primo,1600,gris metalizado,2002-12-05,81542499R
1810AUI,IQQ47432O50328258,Escola,Cuartus,1400,dorado,2007-09-03,51468998N
7283OOE,OII87486Q10383606,Seta,Champi,1400,gris metalizado,2008-12-18,08375827D
8140AOE,IOQ28379I74581401,Rinaul,Manante,1600,plateado metalizado,2008-08-08,76202995Q
5290OEU,QOI04128Q21332551,Bemev,Suv-X,1400,azul metalizado,2005-06-07,36737468M
8828OIA,IOI77370I57501874,Rinaul,Manante,1600,gris,2006-09-04,46104267P
1306OEE,QQQ74826Q32942339,Bemev,Berlin,1400,negro,2002-05-11,06729275G
3043OOI,IIO13807Q91952846,Merche,Tourne,1400,rojo,2002-03-11,80738207L
4366UII,QOQ46187I96941104,Escola,Seconda,1400,rojo metalizado,2002-08-20,34791409E
8828OIA,IOI77370I57501874,Rinaul,Manante,1600,gris,2006-09-04,46104267P
0609OUU,QQI81621Q14193903,Escola,Tercius,1400,beige,2006-01-23,00528326Q
0206OOE,IQQ45173Q47397503,Seta,Nizcalo,1400,negro,2002-11-29,25073532J
0398EUI,OOO89942Q75868161,Rinaul,Charco,1400,blanco metalizado,2007-05-22,12028211Q
7283OOE,OII87486Q10383606,Seta,Champi,1400,gris metalizado,2008-12-18,08375827D
9495AIA,OOQ95654Q25754626,Fork,Bipua,1400,gris,2007-07-10,30173036A
8953EIU,IOI57860Q46262066,Rinaul,Fuente,1400,blanco metalizado,2007-01-14,00015430C
5828EEE,OQO06911I77628882,Bemev,Berlin,1400,plateado metalizado,2004-05-23,06415210G
3202OUU,IQI61167O30378668,Peuyo,Real,1400,blanco,2003-11-07,21371673G
1286OEO,OII27925I50936906,Zitron,Lemmon,1400,beige,2007-07-03,97976946M
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
0703OEU,IOQ29388I53520575,Seta,Cardus,1400,bermellon,2002-05-24,74864863R
4785UUA,QQI71806I35950133,Merche,Estadio,1400,gris,2008-04-02,06415210G
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
7375OAI,OII41365Q48430005,Zitron,Grapef,1400,naranja,2007-05-15,48272209Q
4450AAE,IIO61033Q38692681,Merche,Berlin,1400,rojo,2004-02-29,79763740Q
5279OUE,QIQ53737Q94873236,Zitron,Lemmon,1400,negro metalizado,2003-02-15,97091580R
8784IUI,OQO15880I36350106,Bemev,Suv-X,1400,plateado metalizado,2003-11-18,50219461L
0122IIA,IOI43577O13083899,Seta,Champi,1400,blanco metalizado,2003-01-18,55087522S
9218OIA,OOI05730Q79417046,Merche,Estadio,1400,blanco,2003-10-15,28232810B
8960AEO,IQQ66455I35121959,Seta,Champi,1400,gris metalizado,2008-12-14,00699099Z
2347OUI,IIQ34933Q76160605,Peuyo,Natural,1400,rojo metalizado,2005-07-10,32609826N
1810AUI,IQQ47432O50328258,Escola,Cuartus,1400,dorado,2007-09-03,51468998N
8472OIE,QOQ90000Q37170799,Peuyo,Natural,1400,azul metalizado,2005-10-30,13633650D
9707OOI,IOQ82090O19640131,Zitron,Tangerine,1400,negro metalizado,2008-05-05,19425545K
8140AOE,IOQ28379I74581401,Rinaul,Manante,1600,plateado metalizado,2008-08-08,76202995Q
6111IAI,QIO78629I56366773,Rinaul,Fuente,1400,dorado,2004-10-25,70809340E
7372AEU,IIQ28512I42783932,Peuyo,Real,1400,blanco,2002-03-05,20147685F
3202OUU,IQI61167O30378668,Peuyo,Real,1400,blanco,2003-11-07,21371673G
1675EOA,IOO55253I81787069,Seta,Amanita,1400,marron metalizado,2003-05-26,79763740Q
5119EUA,QII24751Q68251165,Fork,Escolta,1400,aguamarina,2004-11-12,80771305C
7405UIU,III22374O22741845,Fork,Tetrox,1400,negro metalizado,2005-04-20,92453827Z
4450AAE,IIO61033Q38692681,Merche,Berlin,1400,rojo,2004-02-29,79763740Q
0566EAU,IOQ70224Q79374722,Rinaul,Fuente,1400,negro,2003-11-21,60908146Y
6797EIU,IOQ09038O61986932,Bemev,Suv-X,1400,blanco metalizado,2006-11-13,79278865G
0020AUA,IOI82044I77796060,Bemev,Berlin,1400,negro metalizado,2002-12-30,15957991Q
4776EUI,OOQ45179Q65086868,Merche,Rod-star,1400,gris metalizado,2002-10-21,44338136R
9200IIA,QIO98366Q19140741,Escola,Primus,1400,rojo metalizado,2006-12-29,56475918Q
9519IEI,OIO13264I31209486,Bemev,Suv-X,1400,gris,2008-08-31,61353152P
0020AUA,IOI82044I77796060,Bemev,Berlin,1400,negro metalizado,2002-12-30,15957991Q
4334OUU,IIQ51207Q46695684,Zitron,Lemmon,1400,dorado,2003-06-10,49806223E
4280EUI,IIQ31616Q55143183,Merche,Rod-star,1400,negro,2008-04-26,85549822B
8506OUO,QII06239O87469665,Rinaul,Charco,1400,tornasol,2006-07-14,70886396M
3202OUU,IQI61167O30378668,Peuyo,Real,1400,blanco,2003-11-07,21371673G
4237EIO,IQQ95604Q39887649,Escola,Cuartus,1400,negro,2008-07-12,75939906R
3667IIE,QIO83777I33238686,Seta,Nizcalo,1400,blanco metalizado,2002-07-23,18612682R
1103EEA,OQI59778Q33920532,Rinaul,Charco,1400,blanco,2006-04-20,07471244Q
5844EIA,IIQ83190I84295888,Seta,Amanita,1400,gris,2008-01-11,65572592Y
1131AOO,QIQ56777I40016298,Merche,Rod-star,1400,plateado,2004-04-28,83880461J
5853OII,OIO85050Q74433787,Rinaul,Fuente,1400,violeta,2007-01-10,90553454Q
7283OOE,OII87486Q10383606,Seta,Champi,1400,gris metalizado,2008-12-18,08375827D
9855AIE,OQQ78585Q47198752,Rinaul,Fuente,1400,blanco,2005-01-03,36071957E
8953EIU,IOI57860Q46262066,Rinaul,Fuente,1400,blanco metalizado,2007-01-14,00015430C
7196EOI,OQI56121Q28442356,Peuyo,Entero,1400,azul metalizado,2008-04-23,49806223E
7376AEU,OIO46697I92693441,Escola,Primus,1400,beige,2002-09-04,47718268F
6493OEA,IQQ64123Q58925888,Merche,Berlin,1400,negro,2003-04-14,99181271G
5740AUA,OQI20031Q26951497,Zitron,Grapef,1400,negro metalizado,2008-08-22,99181271G
4450AAE,IIO61033Q38692681,Merche,Berlin,1400,rojo,2004-02-29,79763740Q
3295IOE,OIQ00016Q31061188,Rinaul,Fuente,1400,anil metalizado,2007-06-25,30801878W
8419EIE,OII11700O76761286,Rinaul,Fuente,1400,blanco,2008-10-29,30173036A
9861AUO,OIQ07264O18727308,Zitron,Tangerine,1400,rojo,2008-07-19,76150280V
0098EUA,IIO57905I36451310,Peuyo,Real,1400,gris metalizado,2003-10-24,75969962L
3242OEU,QQO35627O39157157,Rinaul,Arroyo,1600,azul,2003-09-10,50219461L
3195EOU,IQQ30276O79775466,Peuyo,Primo,1600,azul,2002-04-10,97045896H
5863AII,QOQ51133I97411888,Bemev,Cuple,1400,blanco metalizado,2007-05-21,31970465M
0703OEU,IOQ29388I53520575,Seta,Cardus,1400,bermellon,2002-05-24,74864863R
8489EAU,QII08861O40845066,Rinaul,Charco,1400,verde,2006-09-23,97201505D
9787IEE,III62370I64400385,Rinaul,Arroyo,1600,plateado metalizado,2003-06-12,09611341D
1536UII,OIQ52049Q13574249,Bemev,Berlin,1400,rojo metalizado,2003-11-27,74086301N
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
0583EAA,QII41544Q45043796,Peuyo,Real,1400,naranja,2004-06-21,49806223E
1717III,OIQ18415I29121885,Merche,Estadio,1400,negro,2002-05-24,11810752E
2072UIE,OII25437I17656615,Merche,Estadio,1400,dorado,2004-07-05,58094111K
5329UEU,IQI54930Q10981187,Zitron,Tangerine,1400,gris,2002-04-13,75584686Q
8173OAU,QQO37246O79118901,Merche,Tourne,1400,plateado,2005-09-08,67121154R
1497IUA,IQO21503O84888857,Fork,Bipua,1400,plateado metalizado,2003-04-18,48906593Z
9218OIA,OOI05730Q79417046,Merche,Estadio,1400,blanco,2003-10-15,28232810B
5338IEI,OQQ78495O15486701,Bemev,Cuple,1400,rojo,2008-04-22,04906297Y
1306OEE,QQQ74826Q32942339,Bemev,Berlin,1400,negro,2002-05-11,06729275G
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
0206OOE,IQQ45173Q47397503,Seta,Nizcalo,1400,negro,2002-11-29,25073532J
3434AOI,QII85658I22914472,Bemev,Suv-X,1400,blanco,2002-03-01,76113108J
6118UAA,IOO86091I29232341,Rinaul,Charco,1400,fucsia,2007-05-20,74080979A
0344UEE,OII94725I25129793,Escola,Seconda,1400,blanco metalizado,2006-05-12,20147685F
5823AEO,OOQ24566Q85316870,Zitron,Orange,1400,dorado,2003-06-30,47614918L
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
0609OUU,QQI81621Q14193903,Escola,Tercius,1400,beige,2006-01-23,00528326Q
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
0935IOA,QQQ12857O79355025,Bemev,Berlin,1400,azul metalizado,2006-12-08,02055702P
0728IOU,OIQ42514I41248866,Fork,Tridente,1600,plateado,2004-03-02,72487325L
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
6306III,IOQ24860Q49121860,Seta,Nizcalo,1400,marron,2004-03-10,56193398M
3295IOE,OIQ00016Q31061188,Rinaul,Fuente,1400,anil metalizado,2007-06-25,30801878W
3219AEO,OQQ35545I40773879,Peuyo,Entero,1400,marron metalizado,2006-02-14,51285523P
8489EAU,QII08861O40845066,Rinaul,Charco,1400,verde,2006-09-23,97201505D
8506OUO,QII06239O87469665,Rinaul,Charco,1400,tornasol,2006-07-14,70886396M
0344UEE,OII94725I25129793,Escola,Seconda,1400,blanco metalizado,2006-05-12,20147685F
1369OAU,OOI69335Q51586849,Zitron,Tangerine,1400,dorado,2002-09-02,49631868F
1405AOU,OII74095Q93576429,Rinaul,Charco,1400,plateado metalizado,2007-06-28,17017996C
6797EIU,IOQ09038O61986932,Bemev,Suv-X,1400,blanco metalizado,2006-11-13,79278865G
5279OUE,QIQ53737Q94873236,Zitron,Lemmon,1400,negro metalizado,2003-02-15,97091580R
3219AEO,OQQ35545I40773879,Peuyo,Entero,1400,marron metalizado,2006-02-14,51285523P
5863AII,QOQ51133I97411888,Bemev,Cuple,1400,blanco metalizado,2007-05-21,31970465M
9063AOI,QQO35197I53881067,Rinaul,Arroyo,1600,plateado,2007-11-25,22649968M
6118UAA,IOO86091I29232341,Rinaul,Charco,1400,fucsia,2007-05-20,74080979A
5862IOU,IOQ24526I72268006,Rinaul,Fuente,1400,azul metalizado,2008-12-11,78455829T
4286AUA,IOQ01523Q94149342,Merche,Berlin,1400,granate,2004-10-30,71116260F
0772EOE,IIO82672O31795676,Merche,Estadio,1400,azul,2008-03-14,79172538Y
6818EAU,QOI57614I44678610,Rinaul,Charco,1400,naranja,2006-04-15,67245027L
7376AEU,OIO46697I92693441,Escola,Primus,1400,beige,2002-09-04,47718268F
3204OUA,IIO59720Q16009469,Peuyo,Real,1400,rojo,2002-08-01,18258713W
9519OEE,QQQ42530Q26501403,Escola,Tercius,1400,rojo metalizado,2004-10-31,73520242Y
4776EUI,OOQ45179Q65086868,Merche,Rod-star,1400,gris metalizado,2002-10-21,44338136R
9105UIU,IIQ54724I78886023,Merche,Berlin,1400,plateado,2002-03-11,53832275Q
9733UAO,IOO27617O30655451,Rinaul,Charco,1400,dorado,2006-01-17,81904772R
6818EAU,QOI57614I44678610,Rinaul,Charco,1400,naranja,2006-04-15,67245027L
7494UEU,OIQ99703O13452404,Zitron,Tangerine,1400,negro,2007-12-23,33585461X
0438IAO,OQQ56304I66675906,Zitron,Tangerine,1400,negro,2009-01-03,53675847B
6493OEA,IQQ64123Q58925888,Merche,Berlin,1400,negro,2003-04-14,99181271G
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
1131AOO,QIQ56777I40016298,Merche,Rod-star,1400,plateado,2004-04-28,83880461J
4760AEE,OQI84817O94178267,Fork,Escolta,1400,blanco,2004-08-26,60305223M
0342OEO,OQO75596O11597968,Bemev,Berlin,1400,blanco metalizado,2002-08-13,13982887Z
5938AOI,QII73641I58296691,Seta,Champi,1400,gris,2005-02-28,82883718K
3784IAO,IQI17923O96683383,Zitron,Lemmon,1400,rojo metalizado,2005-09-05,20304333W
4237EIO,IQQ95604Q39887649,Escola,Cuartus,1400,negro,2008-07-12,75939906R
5740AUA,OQI20031Q26951497,Zitron,Grapef,1400,negro metalizado,2008-08-22,99181271G
3219AEO,OQQ35545I40773879,Peuyo,Entero,1400,marron metalizado,2006-02-14,51285523P
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
7034IUI,III52427O80805860,Fork,Escolta,1400,gris,2004-07-24,31414734T
4237EIO,IQQ95604Q39887649,Escola,Cuartus,1400,negro,2008-07-12,75939906R
4366UII,QOQ46187I96941104,Escola,Seconda,1400,rojo metalizado,2002-08-20,34791409E
9218OIA,OOI05730Q79417046,Merche,Estadio,1400,blanco,2003-10-15,28232810B
7372AEU,IIQ28512I42783932,Peuyo,Real,1400,blanco,2002-03-05,20147685F
9507IIA,IQI93255O19695485,Rinaul,Fuente,1400,azul,2008-10-28,15742171M
0206OOE,IQQ45173Q47397503,Seta,Nizcalo,1400,negro,2002-11-29,25073532J
1497IUA,IQO21503O84888857,Fork,Bipua,1400,plateado metalizado,2003-04-18,48906593Z
6882IUI,IQQ37428O29626828,Bemev,Berlin,1400,negro metalizado,2002-07-24,29525918J
7608OAU,QOQ57086Q22530925,Bemev,Suv-X,1400,blanco,2007-03-23,80738207L
1369OAU,OOI69335Q51586849,Zitron,Tangerine,1400,dorado,2002-09-02,49631868F
2539EOE,OII05576Q94589278,Fork,Escolta,1400,blanco metalizado,2005-01-25,12519376Q
6797EIU,IOQ09038O61986932,Bemev,Suv-X,1400,blanco metalizado,2006-11-13,79278865G
0728IOU,OIQ42514I41248866,Fork,Tridente,1600,plateado,2004-03-02,72487325L
6279OUE,IQI51821Q24943387,Zitron,Tangerine,1400,rojo,2006-08-19,60305223M
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
0398EUI,OOO89942Q75868161,Rinaul,Charco,1400,blanco metalizado,2007-05-22,12028211Q
9117UEE,IIO43719Q17937207,Peuyo,Primo,1600,gris metalizado,2002-06-15,06769696Z
3929OOO,QII67147Q67852783,Bemev,Cuple,1400,blanco,2008-12-02,58793740J
9117UEE,IIO43719Q17937207,Peuyo,Primo,1600,gris metalizado,2002-06-15,06769696Z
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
9733UAO,IOO27617O30655451,Rinaul,Charco,1400,dorado,2006-01-17,81904772R
6668OOO,OQO05288I91243621,Fork,Tetrox,1400,azul,2008-05-22,54016383D
0431UIE,IIQ52468Q79487215,Fork,Escolta,1400,azul metalizado,2003-10-29,90553454Q
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
4776EUI,OOQ45179Q65086868,Merche,Rod-star,1400,gris metalizado,2002-10-21,44338136R
5823AEO,OOQ24566Q85316870,Zitron,Orange,1400,dorado,2003-06-30,47614918L
5338IEI,OQQ78495O15486701,Bemev,Cuple,1400,rojo,2008-04-22,04906297Y
2698UEA,QQQ84318Q58168521,Seta,Amanita,1400,blanco metalizado,2004-12-22,29480068W
2539EOE,OII05576Q94589278,Fork,Escolta,1400,blanco metalizado,2005-01-25,12519376Q
5863AII,QOQ51133I97411888,Bemev,Cuple,1400,blanco metalizado,2007-05-21,31970465M
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
0935IOA,QQQ12857O79355025,Bemev,Berlin,1400,azul metalizado,2006-12-08,02055702P
8111EAA,QII98756O94565461,Zitron,Grapef,1400,blanco metalizado,2004-07-17,02055702P
7789UAO,IOO69825O26080643,Seta,Champi,1400,morado,2003-11-10,69049869M
5700IIE,IIO89049Q80945510,Zitron,Orange,1400,marron,2006-02-28,15928484H
5831EEE,OIQ11256Q19208892,Merche,Rod-star,1400,ocre metalizado,2006-01-07,40977364N
7196EOI,OQI56121Q28442356,Peuyo,Entero,1400,azul metalizado,2008-04-23,49806223E
4309OEE,OOQ28745O80245812,Zitron,Orange,1400,plateado,2004-02-26,93655750A
5828EEE,OQO06911I77628882,Bemev,Berlin,1400,plateado metalizado,2004-05-23,06415210G
9507IIA,IQI93255O19695485,Rinaul,Fuente,1400,azul,2008-10-28,15742171M
0438IAO,OQQ56304I66675906,Zitron,Tangerine,1400,negro,2009-01-03,53675847B
5828EEE,OQO06911I77628882,Bemev,Berlin,1400,plateado metalizado,2004-05-23,06415210G
0206OOE,IQQ45173Q47397503,Seta,Nizcalo,1400,negro,2002-11-29,25073532J
7919AEO,QOI84163Q14980235,Rinaul,Fuente,1400,marron,2008-05-29,21987229B
3283IAA,OIO21498O85554277,Merche,Rod-star,1400,purpura metalizado,2006-01-30,26322160V
9495AIA,OOQ95654Q25754626,Fork,Bipua,1400,gris,2007-07-10,30173036A
9519IEI,OIO13264I31209486,Bemev,Suv-X,1400,gris,2008-08-31,61353152P
0098EUA,IIO57905I36451310,Peuyo,Real,1400,gris metalizado,2003-10-24,75969962L
2539EOE,OII05576Q94589278,Fork,Escolta,1400,blanco metalizado,2005-01-25,12519376Q
